StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,CAS_1,CAS_2,CAS_3,CAS_4,CAS_5,MDI_1,MDI_2,MDI_3,MDI_4,MDI_5,MDI_6,MDI_7,MDI_8,MDI_9,MDI_10,MDI_11,MDI_12,PSS_1,PSS_2,PSS_3,PSS_4,PSS_5,PSS_6,PSS_7,PSS_8,PSS_9,PSS_10,Q1,Q1_3_TEXT,Q2,Q3,Q3_7_TEXT,Q4,Q4_9_TEXT,Q5,Q6,Q6_9_TEXT,Q7,Q8,Q9,Q10,Q10_3_TEXT,Q11,Q11_7_TEXT,Q12,Q13,Q13_6_TEXT,Q14,Q15,Q16,Q17A,Q17B,Q18,Q19A,Q19B,Q20A,Q20B,Q21,Q22,Q23,Q24,Q25,Q26A,Q26B,Q26C,Q26D
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you provide consent to participate in this research study?,"How often have you experienced the following activities over the last 2 weeks? - I felt dizzy, lightheaded, or faint, when I read or listened to news about the coronavirus.",How often have you experienced the following activities over the last 2 weeks? - I had trouble falling or staying asleep because I was thinking about the coronavirus.,How often have you experienced the following activities over the last 2 weeks? - I felt paralyzed or frozen when I thought about or was exposed to information about the coronavirus.,How often have you experienced the following activities over the last 2 weeks? - I lost interest in eating when I thought about or was exposed to information about the coronavirus.,How often have you experienced the following activities over the last 2 weeks? - I felt nauseous or had stomach problems when I thought about or was exposed to information about the coronavirus.,"Please answer the following questions about your experiences of COVID-19. Since there are no ""right"" or ""wrong"" answers, please answer each question honestly and accurately. The following questions ask how you have been feeling over the last 2 weeks: - Have you felt low in spirit or sad?","Please answer the following questions about your experiences of COVID-19. Since there are no ""right"" or ""wrong"" answers, please answer each question honestly and accurately. The following questions ask how you have been feeling over the last 2 weeks: - Have you lost interest in your daily activities?","Please answer the following questions about your experiences of COVID-19. Since there are no ""right"" or ""wrong"" answers, please answer each question honestly and accurately. The following questions ask how you have been feeling over the last 2 weeks: - Have you felt lacking in energy and strength?","Please answer the following questions about your experiences of COVID-19. Since there are no ""right"" or ""wrong"" answers, please answer each question honestly and accurately. The following questions ask how you have been feeling over the last 2 weeks: - Have you felt less self-confident?","Please answer the following questions about your experiences of COVID-19. Since there are no ""right"" or ""wrong"" answers, please answer each question honestly and accurately. The following questions ask how you have been feeling over the last 2 weeks: - Have you had a bad conscience or feelings of guilt?","Please answer the following questions about your experiences of COVID-19. Since there are no ""right"" or ""wrong"" answers, please answer each question honestly and accurately. The following questions ask how you have been feeling over the last 2 weeks: - Have you felt that life wasn't worth living?","Please answer the following questions about your experiences of COVID-19. Since there are no ""right"" or ""wrong"" answers, please answer each question honestly and accurately. The following questions ask how you have been feeling over the last 2 weeks: - Have you had difficulties in concentrating?","Please answer the following questions about your experiences of COVID-19. Since there are no ""right"" or ""wrong"" answers, please answer each question honestly and accurately. The following questions ask how you have been feeling over the last 2 weeks: - Have you felt very restless?","Please answer the following questions about your experiences of COVID-19. Since there are no ""right"" or ""wrong"" answers, please answer each question honestly and accurately. The following questions ask how you have been feeling over the last 2 weeks: - Have you felt subdued or slowed down?","Please answer the following questions about your experiences of COVID-19. Since there are no ""right"" or ""wrong"" answers, please answer each question honestly and accurately. The following questions ask how you have been feeling over the last 2 weeks: - Have you had trouble sleeping at night?","Please answer the following questions about your experiences of COVID-19. Since there are no ""right"" or ""wrong"" answers, please answer each question honestly and accurately. The following questions ask how you have been feeling over the last 2 weeks: - Have you suffered from reduced appetite?","Please answer the following questions about your experiences of COVID-19. Since there are no ""right"" or ""wrong"" answers, please answer each question honestly and accurately. The following questions ask how you have been feeling over the last 2 weeks: - Have you suffered from increased appetite?","Please answer the following questions about your experiences of COVID-19. Since there are no ""right"" or ""wrong"" answers, please answer each question honestly and accurately. The questions in this scale ask you about your feelings and thoughts during the last month. - In the last month, how often have you been upset because of something that happened unexpectedly?","Please answer the following questions about your experiences of COVID-19. Since there are no ""right"" or ""wrong"" answers, please answer each question honestly and accurately. The questions in this scale ask you about your feelings and thoughts during the last month. - In the last month, how often have you felt that you were unable to control the important things in your life?","Please answer the following questions about your experiences of COVID-19. Since there are no ""right"" or ""wrong"" answers, please answer each question honestly and accurately. The questions in this scale ask you about your feelings and thoughts during the last month. - In the last month, how often have you felt nervous and “stressed”?","Please answer the following questions about your experiences of COVID-19. Since there are no ""right"" or ""wrong"" answers, please answer each question honestly and accurately. The questions in this scale ask you about your feelings and thoughts during the last month. - In the last month, how often have you felt confident about your ability to handle your personal problems?","Please answer the following questions about your experiences of COVID-19. Since there are no ""right"" or ""wrong"" answers, please answer each question honestly and accurately. The questions in this scale ask you about your feelings and thoughts during the last month. - In the last month, how often have you felt that things were going your way?","Please answer the following questions about your experiences of COVID-19. Since there are no ""right"" or ""wrong"" answers, please answer each question honestly and accurately. The questions in this scale ask you about your feelings and thoughts during the last month. - In the last month, how often have you found that you could not cope with all the things that you had to do?","Please answer the following questions about your experiences of COVID-19. Since there are no ""right"" or ""wrong"" answers, please answer each question honestly and accurately. The questions in this scale ask you about your feelings and thoughts during the last month. - In the last month, how often have you been able to control irritations in your life?","Please answer the following questions about your experiences of COVID-19. Since there are no ""right"" or ""wrong"" answers, please answer each question honestly and accurately. The questions in this scale ask you about your feelings and thoughts during the last month. - In the last month, how often have you felt that you were on top of things?","Please answer the following questions about your experiences of COVID-19. Since there are no ""right"" or ""wrong"" answers, please answer each question honestly and accurately. The questions in this scale ask you about your feelings and thoughts during the last month. - In the last month, how often have you been angered because of things that were outside of your control?","Please answer the following questions about your experiences of COVID-19. Since there are no ""right"" or ""wrong"" answers, please answer each question honestly and accurately. The questions in this scale ask you about your feelings and thoughts during the last month. - In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?",What is your gender? - Selected Choice,What is your gender? - Other - Text,Do you identify yourself as transgender?,What is your marital status? - Selected Choice,What is your marital status? - Other - Text,How do you usually describe yourself? (Please select ONE that fits you the most) - Selected Choice,How do you usually describe yourself? (Please select ONE that fits you the most) - Other - Text,What is your age?,What is your year in school? - Selected Choice,What is your year in school? - Other - Text,Did you transfer/get admitted to UNLV during Spring 2020?,What is your field of study?,"Do you have a visa (e.g., F-1, J-1, or M-1) to study or work in the United States?",What is your enrollment status? - Selected Choice,What is your enrollment status? - Other - Text,Which statement best describes your current employment status? - Selected Choice,Which statement best describes your current employment status? - Other - Text,Are you a member of a social fraternity or sorority?,Where do you currently live? - Selected Choice,Where do you currently live? - Other - Text,What is your primary source of health insurance?,Are you a parent of a child under the age of 18 or do you have primary responsibility for someone else's child/children under 18?,How many dependents do you have?,How many hours a day did you spend on coursework in Spring 2020?,"Compared to Fall 2019, did you spend more or less time on coursework in Spring 2020?",Are you working remotely as of recent due to COVID-19?,"During COVID-19, approximately how many hours of sleep do you get per day?",Is this more or less than before COVID-19?,How many minutes/hours a day are you currently connecting with family/friends via telecommunication or virtually during COVID-19?,Is this more or less than before COVID-19?,"As a result of the COVID-19 pandemic, have you experienced any discriminatory or hostile behavior due to your race/ethnicity (or what someone thought was your race/ethnicity)?","As a result of the COVID-19 pandemic, have you witnessed (online exchanges or in-person) any discriminatory or hostile behavior towards others due to your race/ethnicity (or what someone thought was their race/ethnicity)?","If you have received counseling or therapy in the past 12 months, how has your access to mental health care been affected by COVID-19 pandemic?",How has your financial situation been affected by the COVID-19 pandemic?,Have any of your friends or family tested positive for COVID-19?,Have you had COVID-19 (the novel coronavirus disease)?,How severe were any symptoms that you experienced?,Were you hospitalized due to your COVID-19 symptoms?,How likely do you think it is that you will develop COVID-19?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID44""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID12_6""}","{""ImportId"":""QID12_7""}","{""ImportId"":""QID12_8""}","{""ImportId"":""QID12_9""}","{""ImportId"":""QID12_10""}","{""ImportId"":""QID12_11""}","{""ImportId"":""QID12_12""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID11_8""}","{""ImportId"":""QID11_9""}","{""ImportId"":""QID11_10""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_3_TEXT""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID15_7_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID16_9_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_9_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_3_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_7_TEXT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_6_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID47""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}"
2020-10-11 12:09:59,2020-10-11 12:11:08,0,98.167.45.173,100,68,1,2020-10-11 12:11:08,R_3npmN3Dzj2bvEtr,,,,,35.9853973388671875,-115.11930084228515625,anonymous,EN,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-12 13:15:58,2020-10-12 13:19:54,0,131.216.14.5,100,236,1,2020-10-12 13:19:54,R_1HbqhV8moJYJu4M,,,,,36.100799560546875,-115.13649749755859375,anonymous,EN,5,1,1,3,2,2,4,3,3,2,1,6,2,2,3,3,4,1,4,4,5,3,3,5,3,4,4,2,2,,2,6,,2,,1,4,,2,9,2,1,,2,,2,2,,2,2,1,1,2,2,4,2,3,1,2,2,1,2,1,4,,,3
2020-10-12 13:15:55,2020-10-12 13:19:59,0,174.72.210.52,100,244,1,2020-10-12 13:20:00,R_8iGXAJYMh3ZCizL,,,,,36.2180023193359375,-115.1708984375,anonymous,EN,5,1,2,3,3,3,2,3,3,4,4,4,3,3,5,5,4,6,5,5,5,4,2,4,3,3,5,5,1,,2,6,,4,,1,4,,2,13,3,1,,1,,2,2,,2,2,1,3,3,1,4,3,4,1,2,2,3,2,1,1,3,2,
2020-10-12 13:16:08,2020-10-12 13:20:00,0,24.120.26.43,100,232,1,2020-10-12 13:20:00,R_1OSKHoKhawbj6tP,,,,,36.1150054931640625,-115.21649932861328125,anonymous,EN,5,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,2,2,3,4,5,1,4,5,2,2,1,,2,1,,7,,2,3,,1,1,2,2,,1,,2,3,,3,1,2,2,1,2,5,3,2,3,2,2,6,3,2,4,,,4
2020-10-12 13:15:38,2020-10-12 13:20:11,0,184.0.87.238,100,272,1,2020-10-12 13:20:12,R_22QcD8lnsodB7cb,,,,,36.2472991943359375,-115.28209686279296875,anonymous,EN,5,1,2,1,1,3,5,6,6,2,4,6,5,5,5,5,6,3,3,3,5,4,3,2,4,4,4,2,2,,2,6,,7,,1,2,,2,7,2,1,,2,,1,3,,2,2,1,2,2,1,7,3,2,3,2,2,6,3,1,4,,,2
2020-10-12 13:15:39,2020-10-12 13:20:17,0,70.173.242.35,100,277,1,2020-10-12 13:20:17,R_2rNMkPaBcLZLtho,,,,,36.196197509765625,-115.26329803466796875,anonymous,EN,5,1,1,1,1,1,2,3,3,3,4,4,2,2,3,3,2,5,3,4,4,2,2,3,3,2,4,3,1,,1,6,,7,,1,2,,2,13,2,1,,3,,2,2,,2,2,1,2,1,1,4,2,2,2,2,2,2,2,1,4,,,2
2020-10-12 13:16:16,2020-10-12 13:20:20,0,174.237.8.152,100,243,1,2020-10-12 13:20:20,R_1OkUc2O99xzdjrq,,,,,35.13690185546875,-106.5198974609375,anonymous,EN,5,3,4,3,4,5,1,1,2,1,2,3,1,1,3,2,2,4,4,4,4,2,2,3,2,3,4,3,1,,1,6,,7,,1,1,,2,9,2,1,,4,,2,1,,2,2,1,1,1,2,5,2,3,1,2,1,2,1,1,2,2,2,
2020-10-12 13:15:47,2020-10-12 13:20:23,0,131.216.14.83,100,276,1,2020-10-12 13:20:23,R_2w0HK5YnxquuMba,,,,,36.100799560546875,-115.13649749755859375,anonymous,EN,5,1,1,1,1,1,5,5,5,6,6,6,5,6,5,3,6,2,3,3,4,4,3,1,4,3,2,1,2,,2,3,,7,,3,4,,2,3,2,1,,1,,2,3,,3,2,1,4,1,2,4,2,2,2,2,1,6,2,1,4,,,1
